folder	files	txt	ps1	py	sh	bat	js	c
-RD-AcidBurn	2	1	1	0	0	0	0	0
-RD-ADV-RickRoll	1	1	0	0	0	0	0	0
-RD-Credz-Plz	2	1	1	0	0	0	0	0
-RD-ET-Phone-Home	2	1	1	0	0	0	0	0
-RD-JumpScare	3	1	1	0	0	0	0	0
-RD-JumpScare-2.0	1	1	0	0	0	0	0	0
-RD-PineApple	3	2	1	0	0	0	0	0
-RD-Play-WAV	2	1	1	0	0	0	0	0
-RD-PS-Draw	4	1	2	0	0	0	0	0
-RD-Rage-PopUps	2	1	1	0	0	0	0	0
-RD-Russian-Roulette	2	1	1	0	0	0	0	0
-RD-SafeHaven	1	1	0	0	0	0	0	0
-RD-ShortcutJacker	2	1	1	0	0	0	0	0
-RD-Subscribe	3	2	1	0	0	0	0	0
-RD-UrAttaControl	1	1	0	0	0	0	0	0
-RD-Wallpaper-Troll	2	1	1	0	0	0	0	0
-RD-We-Found-You	2	1	1	0	0	0	0	0
-RD-YT-Tripwire	1	1	0	0	0	0	0	0
$MFT-Duck-Crasher	1	1	0	0	0	0	0	0
1_minute_to_sleep	1	1	0	0	0	0	0	0
1_Script_to_Rule_Them_All	1	1	0	0	0	0	0	0
265_4_Digit_Pin_BF	1	1	0	0	0	0	0	0
3_Payload_Menu	1	1	0	0	0	0	0	0
A_Cagey_Takeover	1	1	0	0	0	0	0	0
Add_An_Excepiton_To_Avast_Antivirus	1	1	0	0	0	0	0	0
Add_Local_Admin	1	1	0	0	0	0	0	0
Admin_Who_Never_Sleeps	1	1	0	0	0	0	0	0
Alien Message From Computer	2	1	0	1	0	0	0	0
AllOperatingSystemRickroll	1	0	0	0	0	0	0	0
Always-Minimize	1	1	0	0	0	0	0	0
Android_HID_BruteForceCode	2	2	0	0	0	0	0	0
Android_HID_Forward-Email	2	2	0	0	0	0	0	0
Android_top65_4digit_pin_bf	1	1	0	0	0	0	0	0
android-crasher	1	1	0	0	0	0	0	0
Ascii	2	2	0	0	0	0	0	0
ashtree	2	1	1	0	0	0	0	0
atomiczsec-BadUSB	139	60	49	0	0	8	0	0
ATTACKMODE	2	2	0	0	0	0	0	0
Auto-Check_Cisco_IOS_XE_Backdoor_based_on_CVE-2023-20198_and_CVE-2023-20273	2	1	0	0	1	0	0	0
AUTOinCORRECT	1	1	0	0	0	0	0	0
Automailer	1	1	0	0	0	0	0	0
Awesome_Flipper_OSX	1	1	0	0	0	0	0	0
Bad GPT	1	1	0	0	0	0	0	0
BadBLE's by Unknown	3	3	0	0	0	0	0	0
