path	category	name	device_type	uid
BruceRFID/VizOff.rfid	VizOff.rfid	VizOff		
BruceRFID/bruce_repo.rfid	bruce_repo.rfid	bruce_repo	NTAG215	04 D4 39 0D 11 01 89
BruceRFID/Calling/Call_112.nfc	Calling	Call_112	NTAG216	04 B8 31 3A 30 73 80
BruceRFID/Calling/Call_911.nfc	Calling	Call_911	NTAG216	04 B8 31 3A 30 73 80
BruceRFID/Amiibo/Metroid/[MET]_02_-_Metroid.nfc	Amiibo	[MET]_02_-_Metroid	NTAG215	04 73 A6 D2 D2 65 37
BruceRFID/Amiibo/Metroid/[MET]_01_-_Samus_Aran.nfc	Amiibo	[MET]_01_-_Samus_Aran	NTAG215	04 BE C3 AC F3 8F F0
BruceRFID/Amiibo/Metroid/Metroid_Dread/Samus.nfc	Amiibo	Samus	NTAG215	04 11 FE 63 CA 52 6C
BruceRFID/Amiibo/Metroid/Metroid_Dread/EMMI_.nfc	Amiibo	EMMI_	NTAG215	04 FC 82 F2 CA 52 6C
BruceRFID/Amiibo/Metroid/Metroid_Samus_Returns/Metroid.nfc	Amiibo	Metroid	NTAG215	04 DD 0A 5B 12 BA 4C
BruceRFID/Amiibo/Metroid/Metroid_Samus_Returns/Samus_Aran.nfc	Amiibo	Samus_Aran	NTAG215	04 59 8E 5B F2 E9 4C
BruceRFID/Amiibo/Kirby/[Kirby]_04_-_Waddle_Dee.nfc	Amiibo	[Kirby]_04_-_Waddle_Dee	NTAG215	04 18 54 10 83 39 D8
BruceRFID/Amiibo/Kirby/[Kirby]_01_-_Kirby.nfc	Amiibo	[Kirby]_01_-_Kirby	NTAG215	04 E1 96 76 AC 7E C7
BruceRFID/Amiibo/Kirby/[Kirby]_03_-_King_Dedede.nfc	Amiibo	[Kirby]_03_-_King_Dedede	NTAG215	04 1B 74 67 51 8E 2E
BruceRFID/Amiibo/Kirby/[Kirby]_02_-_Meta_Knight.nfc	Amiibo	[Kirby]_02_-_Meta_Knight	NTAG215	04 3A 2E 3F 84 B8 0B
BruceRFID/Amiibo/Detective_Pikachu/[DEP]_01_-_Detective_Pikachu.nfc	Amiibo	[DEP]_01_-_Detective_Pikachu	NTAG215	04 3C 90 FD F0 71 FF
BruceRFID/Amiibo/Yu-Gi-Oh/-YU-GI-OH-_Roa_Kirishima.nfc	Amiibo	-YU-GI-OH-_Roa_Kirishima	NTAG215	04 14 A3 C6 66 D4 47
BruceRFID/Amiibo/Yu-Gi-Oh/-YU-GI-OH-_Nail_Saionji.nfc	Amiibo	-YU-GI-OH-_Nail_Saionji	NTAG215	04 D8 F6 44 B6 B6 3E
BruceRFID/Amiibo/Yu-Gi-Oh/-YU-GI-OH-_Tatsuhisa_“Luke”_Kamijō.nfc	Amiibo	-YU-GI-OH-_Tatsuhisa_“Luke”_Kamijō	NTAG215	04 CC 72 86 89 B8 A9
BruceRFID/Amiibo/Yu-Gi-Oh/-YU-GI-OH-_Yuga_Ohdo.nfc	Amiibo	-YU-GI-OH-_Yuga_Ohdo	NTAG215	04 C1 BB A1 A7 11 D4
BruceRFID/Amiibo/Yu-Gi-Oh/-YU-GI-OH-_Romin_Kirishima.nfc	Amiibo	-YU-GI-OH-_Romin_Kirishima	NTAG215	04 33 8B 8B D3 C0 21
BruceRFID/Amiibo/Yu-Gi-Oh/-YU-GI-OH-_Gakuto_Sōgetsu.nfc	Amiibo	-YU-GI-OH-_Gakuto_Sōgetsu	NTAG215	04 68 F9 20 D3 7A 65
BruceRFID/Amiibo/Yu-Gi-Oh/-YU-GI-OH-_Asana_Mutsuba.nfc	Amiibo	-YU-GI-OH-_Asana_Mutsuba	NTAG215	04 86 B6 2B F2 62 63
BruceRFID/Amiibo/Dark_Souls/[DS]_01_-_Solaire_of_Astora.nfc	Amiibo	[DS]_01_-_Solaire_of_Astora	NTAG215	04 E9 C0 B9 8B 93 03
BruceRFID/Amiibo/PowerUpBands/Mario.nfc	Amiibo	Mario	NTAG215	04 75 1C E5 56 9E 49
BruceRFID/Amiibo/PowerUpBands/Yoshi.nfc	Amiibo	Yoshi	NTAG215	04 C1 62 2F FB 38 09
BruceRFID/Amiibo/PowerUpBands/Toad.nfc	Amiibo	Toad	NTAG215	04 36 CF 75 25 28 E8
BruceRFID/Amiibo/PowerUpBands/Peach.nfc	Amiibo	Peach	NTAG215	04 91 BC A1 DE E0 3E
BruceRFID/Amiibo/PowerUpBands/Daisy.nfc	Amiibo	Daisy	NTAG215	04 0A 86 00 B6 1D 40
BruceRFID/Amiibo/PowerUpBands/Luigi.nfc	Amiibo	Luigi	NTAG215	04 C2 BC F2 55 34 D7
BruceRFID/Amiibo/Metroid_Dread/[METD]_SAMUS.nfc	Amiibo	[METD]_SAMUS	NTAG215	04 18 BA 51 3D 5F 17
BruceRFID/Amiibo/Metroid_Dread/[METD]E.M.M.I.nfc	Amiibo	[METD]E.M.M.I	NTAG215	04 5B CC 3E 3D D6 C8
BruceRFID/Amiibo/Metroid_Amiibo/Metroid_Dread/Samus_Metroid_Dread.nfc	Amiibo	Samus_Metroid_Dread	NTAG215	04 C4 05 3E A6 1B B0
BruceRFID/Amiibo/Metroid_Amiibo/Metroid_Dread/EMMI.nfc	Amiibo	EMMI	NTAG215	04 B6 61 99 9E 12 F9
BruceRFID/Amiibo/Metroid_Amiibo/Metroid_Samus_Returns/Metroid.nfc	Amiibo	Metroid	NTAG215	04 47 D6 E9 E6 58 56
BruceRFID/Amiibo/Metroid_Amiibo/Metroid_Samus_Returns/Samus_Aran.nfc	Amiibo	Samus_Aran	NTAG215	04 7C 37 FB B8 6F 03
BruceRFID/Amiibo/BoxBoy/Qbby.nfc	Amiibo	Qbby	NTAG215	04 E4 B0 61 71 00 FC
BruceRFID/Amiibo/Chibi-Robo/[CR]_01_-_Chibi-Robo.nfc	Amiibo	[CR]_01_-_Chibi-Robo	NTAG215	04 49 A9 C2 E3 7C 25
BruceRFID/Amiibo/Other/Shovel_Knight.nfc	Amiibo	Shovel_Knight	NTAG215	04 40 F2 3E 2A 54 49
BruceRFID/Amiibo/Other/Fox.nfc	Amiibo	Fox	NTAG215	04 71 C3 3E 82 99 3C
BruceRFID/Amiibo/Other/PAC-MAN.nfc	Amiibo	PAC-MAN	NTAG215	04 EA A0 C6 F2 71 40
