path	category	name	frequency_hz	preset	protocol
BruceRF/Sextoy2.sub	Sextoy2.sub	Sextoy2	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Handicap_button_1650.sub	Handicap_button_1650.sub	Handicap_button_1650	315000000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Sextoy3.sub	Sextoy3.sub	Sextoy3	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Sextoy1.sub	Sextoy1.sub	Sextoy1	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Sextoy4.sub	Sextoy4.sub	Sextoy4	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Handicap_button_1270.sub	Handicap_button_1270.sub	Handicap_button_1270	315000000	FuriHalSubGhzPresetOok270Async	RAW
BruceRF/GoveeLED LightStrand/2hrsTimer.sub	GoveeLED LightStrand	2hrsTimer	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/GoveeLED LightStrand/Off.sub	GoveeLED LightStrand	Off	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/GoveeLED LightStrand/On.sub	GoveeLED LightStrand	On	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Fm_close/Fm_close.sub	Fm_close	Fm_close	433920000	FuriHalSubGhzPreset2FSKDev238Async	RAW
BruceRF/Doorbells/ook650_433substack.sub	Doorbells	ook650_433substack	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/My_doorway.sub	Doorbells	My_doorway	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Hampton_Bay.sub	Doorbells	Hampton_Bay	315000000	FuriHalSubGhzPresetOok650Async	CAME
BruceRF/Doorbells/ook650_433brute.sub	Doorbells	ook650_433brute	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Sadotech_Doorbell.sub	Doorbells	Sadotech_Doorbell	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/KlikAanKlikUit-Doorbel(NL).sub	Doorbells	KlikAanKlikUit-Doorbel(NL)	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Doorbell2.sub	Doorbells	Doorbell2	433889000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Doorbell3.sub	Doorbells	Doorbell3	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Sonnette_Maison_Doorbell.sub	Doorbells	Sonnette_Maison_Doorbell	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Doorbell1.sub	Doorbells	Doorbell1	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Doorbell0.sub	Doorbells	Doorbell0	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/GE_Doorbell_19297.sub	Doorbells	GE_Doorbell_19297	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/DoorbellFM.sub	Doorbells	DoorbellFM	916800000	FuriHalSubGhzPreset2FSKDev476Async	RAW
BruceRF/Doorbells/Doorbell4.sub	Doorbells	Doorbell4	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Doorbell5.sub	Doorbells	Doorbell5	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 7.sub	Doorbells	W727 7	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 6.sub	Doorbells	W727 6	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 4.sub	Doorbells	W727 4	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 5.sub	Doorbells	W727 5	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 1.sub	Doorbells	W727 1	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 2.sub	Doorbells	W727 2	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 3.sub	Doorbells	W727 3	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 8.sub	Doorbells	W727 8	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Clas_Ohlson/SC370_SC321T/W727 9.sub	Doorbells	W727 9	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Hard Head/Hard Head doorbell.sub	Doorbells	Hard Head doorbell	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/GE_2Melody_Doorbell/GE_Doorbell_dingdong.sub	Doorbells	GE_Doorbell_dingdong	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/P.sub	Doorbells	P	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/G.sub	Doorbells	G	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/F.sub	Doorbells	F	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/D.sub	Doorbells	D	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/E.sub	Doorbells	E	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/A.sub	Doorbells	A	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/B.sub	Doorbells	B	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/C.sub	Doorbells	C	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/N.sub	Doorbells	N	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/O.sub	Doorbells	O	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/M.sub	Doorbells	M	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/L.sub	Doorbells	L	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/H.sub	Doorbells	H	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/I.sub	Doorbells	I	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/K.sub	Doorbells	K	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/intertechno_MLR-7100_Doorbell/J.sub	Doorbells	J	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Avidsen_DoorBell/Avidsen_Black_Luster_Doorbell.sub	Doorbells	Avidsen_Black_Luster_Doorbell	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/STI-3353_Doorbell/STI_3353_doorbell_2.sub	Doorbells	STI_3353_doorbell_2	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/STI-3353_Doorbell/STI_3353_doorbell.sub	Doorbells	STI_3353_doorbell	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/AVANTEK/AVANTEK_Mini_CB11_Single.sub	Doorbells	AVANTEK_Mini_CB11_Single	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/AVANTEK/AVANTEK_CW11.sub	Doorbells	AVANTEK_CW11	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/AVANTEK/AVANTEK_Mini_CB11_Repeating.sub	Doorbells	AVANTEK_Mini_CB11_Repeating	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Dollar_General_Pro_Essentials/Doorbell.sub	Doorbells	Doorbell	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/AreTech/AreTech_Doorbell.sub	Doorbells	AreTech_Doorbell	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/M520_Wireless_Doorbell_Receiver/doorbell_438022.sub	Doorbells	doorbell_438022	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/M520_Wireless_Doorbell_Receiver/doorbell_47B132.sub	Doorbells	doorbell_47B132	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell03.sub	Doorbells	doorbell03	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell02.sub	Doorbells	doorbell02	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell01.sub	Doorbells	doorbell01	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell11.sub	Doorbells	doorbell11	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Doorbells/Construction_Market/doorbell05.sub	Doorbells	doorbell05	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell04.sub	Doorbells	doorbell04	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell10.sub	Doorbells	doorbell10	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell06.sub	Doorbells	doorbell06	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell07.sub	Doorbells	doorbell07	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell09.sub	Doorbells	doorbell09	433889000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Doorbells/Construction_Market/doorbell08.sub	Doorbells	doorbell08	433889000	FuriHalSubGhzPresetOok650Async	Princeton
